Unnamed: 0,0,1,2,3,4,5
2018_5,1645.73,1072.87,1324.19,930.73,1755.84,805.81
2018_6,1656.41,1077.07,1331.02,934.59,1766.38,809.02
2018_7,1666.66,1081.34,1338.85,938.51,1778.49,812.19
2018_8,1676.21,1085.66,1344.03,941.79,1787.77,814.24
2018_9,1685.81,1089.71,1350.1,945.35,1796.6,816.64
2018_10,1694.77,1093.72,1357.41,948.85,1807.62,819.76
2018_11,1704.15,1097.25,1364.44,952.47,1817.68,823.13
2018_12,1713.56,1101.33,1368.8,955.5,1825.78,824.24
2019_1,1716.92,1102.46,1371.31,955.75,1833.86,824.8
2019_2,1723.25,1105.22,1375.7,959.08,1835.3,827.87
2019_3,1728.06,1107.26,1379.17,960.58,1841.03,829.11
2019_4,1733.23,1110.02,1382.46,962.97,1847.05,830.39
2019_5,1737.11,1111.93,1385.52,964.85,1850.52,832.01
2019_6,1742.34,1114.3,1388.42,966.02,1857.37,832.96
2019_7,1747.55,1115.67,1391.12,967.36,1860.79,833.56
2019_8,1752.98,1118.52,1395.18,970.22,1866.56,836.17
2019_9,1756.39,1120.15,1396.83,970.76,1870.2,836.82
2019_10,1760.54,1122.0,1400.88,973.0,1876.09,838.72
2019_11,1765.47,1124.53,1404.35,975.22,1882.04,840.7
2019_12,1770.37,1126.08,1405.8,976.21,1884.49,841.21
2020_1,1764.63,1123.47,1405.05,973.16,1883.33,839.34
2020_2,1755.98,1117.73,1396.67,969.32,1869.7,837.94
2020_3,1750.13,1114.29,1393.39,966.38,1865.08,836.92
2020_4,1745.9,1110.32,1388.76,963.59,1858.83,835.64
2020_5,1736.86,1106.03,1383.31,959.62,1849.32,834.01
2020_6,1730.72,1101.92,1378.4,956.06,1842.1,831.97
2020_7,1724.21,1098.27,1375.45,953.31,1836.63,831.06
2020_8,1716.34,1093.44,1369.31,949.23,1827.86,828.66
2020_9,1709.82,1089.14,1363.13,945.36,1819.22,826.52
2020_10,1702.28,1084.47,1358.29,941.86,1811.4,825.17
2020_11,1694.26,1079.59,1352.61,937.97,1803.04,822.71
2020_12,1688.13,1075.25,1348.0,934.53,1795.28,820.98
2021_1,1702.39,1084.86,1357.8,941.91,1809.06,826.28
2021_2,1717.87,1093.96,1370.34,950.87,1826.43,833.78
2021_3,1735.51,1103.38,1384.02,958.73,1846.26,841.48
2021_4,1749.6,1112.17,1394.85,967.01,1861.23,847.93
2021_5,1765.06,1121.15,1406.44,973.47,1877.53,853.36
2021_6,1778.49,1128.88,1415.37,980.18,1891.0,858.45
2021_7,1793.48,1137.72,1426.78,987.77,1906.74,864.71
2021_8,1808.05,1146.1,1439.76,995.43,1923.98,871.86
2021_9,1821.25,1153.85,1447.6,1001.53,1936.06,875.99
2021_10,1834.75,1161.43,1457.97,1008.12,1950.16,882.36
2021_11,1848.26,1169.5,1466.9,1014.59,1964.15,887.28
2021_12,1861.41,1177.39,1477.67,1021.97,1978.11,893.35
