Unnamed: 0,0,1,2,3,5,6,7,8,9,10,11,12,13
2003_1,249.52,209.99,342.52,438.98,336.6,338.37,369.5,408.58,423.01,320.7,400.96,338.24,302.7
2003_2,251.49,211.37,345.21,442.98,339.2,341.02,372.82,412.73,427.2,323.31,404.88,340.88,305.39
2003_3,252.85,212.62,347.5,446.7,341.38,343.28,375.68,416.36,430.99,325.51,408.19,343.18,307.55
2003_4,254.43,213.86,349.84,450.38,343.62,345.64,378.6,420.07,434.64,327.76,411.61,345.51,309.72
2003_5,256.0,215.0,352.07,454.05,345.81,347.83,381.4,423.61,438.35,329.95,414.95,347.81,312.07
2003_6,257.59,216.27,354.27,457.8,347.97,350.04,384.26,427.41,442.06,332.24,418.4,350.06,314.32
2003_7,259.03,217.41,356.58,461.26,350.23,352.3,387.02,430.86,445.75,334.34,421.55,352.38,316.49
2003_8,260.56,218.62,358.88,464.92,352.48,354.58,389.87,434.55,449.48,336.57,424.92,354.64,318.71
2003_9,262.12,219.75,361.11,468.59,354.55,356.78,392.7,438.17,453.14,338.74,428.27,356.88,320.98
2003_10,263.64,220.89,363.29,472.17,356.64,358.94,395.46,441.7,456.77,340.82,431.51,359.09,323.08
2003_11,264.89,221.85,365.13,475.71,358.41,360.78,397.9,444.96,460.07,342.69,434.7,361.01,325.14
2003_12,266.32,222.9,367.21,478.7,360.41,362.86,400.52,448.32,463.56,344.7,437.52,363.22,327.09
2004_1,270.04,225.36,370.54,482.68,363.63,366.18,404.09,452.16,467.48,348.16,441.66,366.46,330.79
2004_2,273.54,227.67,373.62,486.2,366.73,369.23,407.35,455.63,471.04,351.39,445.38,369.46,334.22
2004_3,276.78,229.96,376.71,489.68,369.75,372.34,410.58,459.1,474.54,354.61,449.12,372.45,337.57
2004_4,279.97,232.18,379.74,492.95,372.7,375.28,413.73,462.44,477.98,357.69,452.66,375.44,340.81
2004_5,283.29,234.4,382.71,496.26,375.63,378.23,416.84,465.76,481.36,360.77,456.2,378.41,344.13
2004_6,286.62,236.6,385.65,499.54,378.55,381.14,419.91,469.05,484.69,363.84,459.73,381.36,347.39
2004_7,289.91,238.86,388.63,502.89,381.5,384.08,423.01,472.38,488.08,366.98,463.3,384.31,350.69
2004_8,293.27,241.07,391.68,506.21,384.48,387.08,426.19,475.75,491.53,370.06,466.92,387.22,353.99
2004_9,296.64,243.29,394.65,509.63,387.32,390.04,429.32,479.13,494.92,373.21,470.59,390.12,357.37
2004_10,299.88,245.44,397.62,512.88,390.2,392.98,432.39,482.37,498.23,376.2,474.04,393.03,360.58
2004_11,303.17,247.62,400.51,516.08,393.0,395.82,435.45,485.6,501.56,379.21,477.54,395.91,363.8
2004_12,306.43,249.79,403.25,519.29,395.71,398.65,438.45,488.81,504.79,382.22,480.96,398.77,367.03
2005_1,309.89,252.73,406.39,524.58,399.07,401.57,442.12,493.94,509.77,385.56,486.0,401.89,370.92
2005_2,313.15,255.61,409.85,529.94,402.09,404.93,446.59,499.08,515.55,389.02,491.17,405.59,374.67
2005_3,316.32,258.91,413.4,535.33,405.65,408.63,450.85,504.5,520.89,392.81,496.31,408.91,378.79
2005_4,319.58,261.98,416.79,540.68,409.02,411.98,455.02,509.74,526.27,396.4,501.41,412.29,382.64
2005_5,322.77,264.98,420.09,545.94,412.31,415.21,459.15,514.89,531.59,399.73,506.45,415.61,386.56
2005_6,326.01,267.91,423.26,551.17,415.44,418.38,463.09,520.03,536.72,403.22,511.43,418.89,390.4
2005_7,329.26,270.97,426.6,556.42,418.78,421.71,467.16,525.17,542.03,406.76,516.47,422.22,394.28
2005_8,332.56,273.99,429.95,561.75,422.07,424.99,471.32,530.44,547.38,410.28,521.59,425.55,398.16
2005_9,335.76,276.93,433.22,567.01,425.21,428.2,475.36,535.56,552.6,413.69,526.58,428.8,402.01
2005_10,338.98,279.91,436.5,572.26,428.37,431.45,479.44,540.74,557.9,417.14,531.67,432.07,405.91
2005_11,342.2,282.85,439.65,577.43,431.44,434.57,483.38,545.77,563.07,420.5,536.56,435.35,409.66
2005_12,345.59,285.7,442.59,582.43,434.34,437.61,487.26,550.78,568.19,423.8,541.46,438.54,413.48
2006_1,348.62,288.34,445.01,594.2,436.84,439.93,493.38,562.21,579.61,427.4,551.47,441.32,419.3
2006_2,351.52,291.18,447.91,606.1,439.62,442.85,500.07,573.68,591.72,431.37,561.72,444.54,425.05
2006_3,354.25,294.03,450.51,617.71,442.2,445.4,506.33,584.94,603.23,435.1,571.63,447.39,430.63
2006_4,357.21,296.55,452.98,628.92,444.57,447.84,512.51,595.99,614.61,438.55,581.42,450.26,436.46
2006_5,359.83,299.14,455.26,640.23,446.83,450.11,518.45,607.01,625.81,442.01,591.07,452.91,441.78
2006_6,362.69,301.78,457.67,651.64,449.23,452.5,524.52,618.06,637.14,445.57,600.9,455.65,447.38
2006_7,365.4,304.33,459.89,662.81,451.47,454.71,530.45,628.9,648.31,448.94,610.52,458.3,452.79
2006_8,368.19,306.96,462.24,674.04,453.83,457.06,536.47,639.89,659.52,452.44,620.21,460.87,458.3
2006_9,370.86,309.42,464.44,685.14,455.88,459.23,542.35,650.67,670.58,455.72,629.79,463.39,463.65
2006_10,373.6,311.89,466.56,696.03,457.95,461.33,548.05,661.34,681.39,458.99,639.23,465.85,469.01
2006_11,376.09,314.31,468.58,706.86,459.78,463.26,553.71,671.92,692.31,462.07,648.51,468.27,474.17
2006_12,378.76,316.7,470.59,717.59,462.25,465.14,559.35,682.47,703.11,465.25,657.85,470.47,479.43
2007_1,383.99,321.15,476.74,729.15,468.03,471.13,567.37,693.39,714.09,471.76,667.65,477.2,486.7
2007_2,388.62,324.92,482.33,737.57,473.38,476.66,574.79,703.29,724.22,477.58,676.14,482.87,493.1
2007_3,393.16,327.97,486.96,747.43,477.8,481.56,581.26,711.72,733.03,482.47,685.49,487.32,498.59
2007_4,397.77,331.79,492.56,757.47,483.24,487.14,588.71,721.56,743.15,488.26,694.96,492.96,505.08
2007_5,402.4,335.44,497.96,767.16,488.48,492.49,595.87,731.2,752.85,493.89,703.9,498.48,511.25
2007_6,407.05,339.06,503.32,776.95,493.73,497.74,602.97,740.69,762.67,499.41,712.94,504.04,517.48
2007_7,411.82,342.83,508.86,786.83,499.13,503.25,610.28,750.51,772.61,505.25,722.2,509.57,523.95
2007_8,416.48,346.48,514.41,796.62,504.46,508.62,617.51,760.14,782.51,510.87,731.34,515.15,530.14
2007_9,421.27,350.2,519.97,806.72,509.81,514.14,624.93,769.99,792.57,516.62,740.69,520.67,536.57
2007_10,425.99,353.86,525.4,816.44,515.01,519.52,632.12,779.64,802.36,522.27,749.8,526.18,542.91
2007_11,430.54,357.35,530.48,826.03,519.88,524.64,639.04,788.91,811.85,527.76,758.67,531.4,549.01
2007_12,435.22,360.96,535.89,835.43,525.41,529.93,646.15,798.46,821.52,533.28,767.59,536.83,555.25
2008_1,441.65,366.2,544.7,844.0,533.85,538.54,654.8,806.82,830.13,541.25,776.11,545.72,562.19
2008_2,447.88,372.42,554.27,852.41,543.62,548.21,663.71,815.26,838.6,549.51,784.5,554.52,569.01
2008_3,453.7,377.24,562.84,860.84,551.44,556.77,672.24,823.45,847.03,557.4,792.9,563.2,575.72
2008_4,459.61,382.6,571.68,868.9,560.11,565.58,680.8,831.47,855.2,565.27,800.98,571.81,582.33
2008_5,465.54,387.81,580.42,876.89,568.59,574.15,689.13,839.36,863.25,572.94,808.99,580.47,588.81
2008_6,471.34,393.03,589.17,884.68,577.16,582.81,697.43,847.18,871.27,580.68,816.82,589.02,595.28
2008_7,477.24,398.29,597.94,892.63,585.71,591.43,705.78,854.98,879.25,588.41,824.8,597.52,601.76
2008_8,483.23,403.58,606.81,900.85,594.34,600.23,714.25,863.11,887.48,596.23,832.99,606.05,608.45
2008_9,489.33,408.77,615.56,908.81,602.74,608.85,722.6,871.14,895.44,603.96,841.07,614.51,615.21
2008_10,495.12,414.07,624.31,916.74,611.21,617.55,731.03,879.02,903.56,611.69,849.09,623.01,621.8
2008_11,501.04,419.14,632.87,924.43,619.82,626.03,739.21,886.68,911.42,619.28,856.86,631.46,627.95
2008_12,507.43,424.82,642.34,934.01,628.92,635.04,748.34,895.92,920.73,627.84,865.44,641.25,635.44
2009_1,521.16,427.8,641.57,937.2,628.09,634.74,749.5,899.53,924.32,631.71,872.29,639.99,645.4
2009_2,535.37,431.34,642.08,942.71,628.59,635.25,752.28,905.18,930.1,636.81,880.45,640.8,656.72
2009_3,548.87,434.53,642.13,947.64,628.57,635.22,754.49,910.07,935.23,641.29,887.89,641.22,667.31
2009_4,562.19,437.85,642.31,952.93,628.78,635.56,756.9,915.33,940.36,646.16,895.55,641.57,678.18
2009_5,574.94,440.88,642.3,957.4,628.71,635.48,758.85,920.08,945.07,650.16,902.46,641.91,687.9
2009_6,587.48,443.85,642.33,961.91,628.76,635.46,760.82,924.59,949.8,654.36,909.41,642.15,697.77
2009_7,599.93,446.86,642.41,966.6,628.86,635.49,762.88,929.35,954.53,658.58,916.42,642.38,707.58
2009_8,612.06,449.83,642.55,971.29,628.98,635.63,765.06,934.16,959.6,662.75,923.25,642.72,717.31
2009_9,624.04,452.62,642.46,975.82,628.81,635.52,766.87,938.85,964.07,666.68,929.91,642.8,726.72
2009_10,635.76,455.4,642.33,980.09,628.56,635.5,768.77,943.19,968.52,670.48,936.51,642.74,735.95
2009_11,647.17,458.06,642.78,984.65,629.27,635.29,770.57,947.79,973.03,674.35,943.03,643.98,745.52
2009_12,659.15,461.39,642.68,991.06,629.18,635.5,773.11,953.28,978.69,678.72,949.96,644.18,755.02
2010_1,662.83,463.85,647.12,995.38,633.28,640.26,778.2,958.58,984.19,682.86,955.64,648.21,758.82
2010_2,667.5,467.31,652.59,1002.24,638.57,645.72,784.23,965.43,991.11,688.14,962.37,653.61,764.09
2010_3,671.5,470.86,658.21,1009.46,644.01,651.34,790.56,972.58,998.4,693.57,969.45,659.06,769.28
2010_4,675.74,474.31,663.67,1016.4,649.44,656.8,796.61,979.45,1005.38,698.82,976.09,664.49,774.41
2010_5,679.86,477.64,669.11,1023.09,654.72,662.12,802.63,986.16,1012.25,703.93,982.51,669.83,779.42
2010_6,684.06,480.92,674.35,1029.7,659.82,667.32,808.35,992.78,1018.84,708.99,989.03,675.14,784.33
2010_7,688.23,484.28,679.76,1036.52,665.19,672.66,814.38,999.57,1025.85,714.18,995.58,680.57,789.38
2010_8,692.42,487.72,685.19,1043.25,670.45,678.03,820.31,1006.21,1032.62,719.38,1002.12,685.81,794.32
2010_9,696.77,491.02,690.56,1050.01,675.62,683.39,826.32,1013.11,1039.46,724.53,1008.83,691.06,799.46
2010_10,700.75,494.14,695.88,1056.55,680.63,688.55,832.03,1019.63,1046.01,729.43,1015.18,696.27,804.35
2010_11,704.84,497.47,701.09,1063.17,685.76,693.76,837.84,1026.08,1052.69,734.44,1021.56,701.52,809.11
2010_12,708.74,500.55,706.06,1069.25,690.61,698.68,843.39,1032.4,1059.18,739.18,1027.53,706.68,813.7
2011_1,713.2,504.36,711.15,1074.42,695.67,703.8,848.58,1037.87,1064.66,743.95,1032.79,711.76,818.18
2011_2,717.17,508.28,716.43,1080.08,700.97,709.08,853.94,1043.52,1070.37,748.89,1038.55,716.78,822.69
2011_3,720.88,512.08,721.63,1085.6,705.85,714.21,859.37,1049.17,1075.96,753.78,1044.12,721.87,827.12
2011_4,724.57,515.84,726.62,1090.61,710.78,719.28,864.32,1054.34,1081.2,758.34,1049.23,726.76,831.18
2011_5,728.18,519.48,731.65,1095.6,715.72,724.18,869.3,1059.45,1086.48,762.86,1054.2,731.82,835.2
2011_6,732.0,523.17,736.64,1100.68,720.62,729.09,874.24,1064.62,1091.76,767.41,1059.43,736.83,839.4
2011_7,735.85,526.91,741.71,1105.89,725.58,734.14,879.37,1069.92,1097.12,772.06,1064.74,741.77,843.67
2011_8,739.88,530.74,746.92,1111.2,730.65,739.31,884.63,1075.41,1102.57,776.86,1070.16,746.72,848.02
2011_9,743.72,534.54,751.92,1116.4,735.51,744.3,889.61,1080.6,1107.76,781.48,1075.37,751.56,852.29
2011_10,747.34,538.16,757.0,1121.25,740.41,749.2,894.54,1085.65,1112.91,785.98,1080.32,756.48,856.16
2011_11,750.96,541.75,761.78,1126.04,745.12,753.97,899.36,1090.69,1117.94,790.43,1085.25,761.3,860.19
2011_12,754.69,545.32,766.57,1130.94,749.79,758.79,904.21,1095.65,1122.99,794.82,1090.18,766.16,864.24
2012_1,754.99,547.14,771.35,1140.59,754.76,763.6,911.07,1105.4,1132.95,798.58,1098.13,771.17,867.17
2012_2,754.88,548.8,776.53,1151.03,759.34,768.69,918.28,1115.61,1143.26,802.78,1106.65,776.29,870.42
2012_3,754.36,550.58,781.32,1160.9,764.14,773.51,925.27,1125.48,1153.3,806.61,1114.78,781.17,873.35
2012_4,753.7,552.23,786.24,1170.41,768.74,778.34,931.95,1135.1,1163.05,810.36,1122.57,786.12,876.17
