Unnamed: 0,0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1995_12,374.66,239.97,361.65,316.9,261.1,260.01,626.95,254.84,273.44,217.67,490.32,220.43,406.89,259.77,296.11,219.29,221.84,569.82,276.04,343.99,355.65,215.31,382.69,407.1,181.99,372.31,449.75,410.46,417.85
1996_1,380.23,240.38,367.17,321.57,262.13,260.98,634.66,258.22,276.15,220.34,497.56,223.11,412.95,260.89,298.23,221.97,224.54,577.94,277.71,348.29,361.03,217.91,388.45,412.64,183.01,377.95,456.09,416.32,423.79
1996_2,385.9,240.75,372.56,326.14,263.15,261.93,642.3,261.51,278.92,222.97,504.75,225.77,418.9,261.77,300.41,224.65,227.24,586.06,279.45,352.7,366.48,220.52,394.17,418.27,184.06,383.48,462.67,422.14,429.67
1996_3,391.5,241.23,378.04,330.75,264.13,262.96,649.75,264.89,281.61,225.69,511.87,228.6,424.9,262.95,302.45,227.27,229.93,594.21,281.15,357.1,372.07,223.47,399.87,424.06,185.18,389.14,469.06,427.89,435.55
1996_4,396.86,241.47,383.29,335.21,264.82,263.75,657.29,268.15,284.05,228.18,518.78,231.03,430.68,263.47,304.46,229.85,232.54,602.14,282.58,361.16,376.89,225.7,405.46,429.47,186.02,394.51,475.38,433.47,441.22
1996_5,402.44,241.82,388.6,339.7,265.8,264.72,664.65,271.44,286.69,230.76,525.74,233.61,436.57,264.46,306.57,232.44,235.17,610.29,284.35,365.72,382.14,228.24,411.04,434.93,187.0,400.01,481.7,439.03,446.89
1996_6,407.54,242.05,393.72,344.11,266.61,265.55,671.63,274.59,289.11,233.26,532.54,236.15,442.09,265.26,308.55,234.96,237.71,617.71,285.7,369.51,387.02,230.78,416.4,440.21,187.93,405.22,487.83,444.47,452.4
1996_7,413.03,242.36,398.94,348.52,267.51,266.42,678.59,277.82,291.69,235.79,539.48,238.7,447.79,266.19,310.62,237.51,240.3,625.32,287.31,373.76,392.18,233.25,421.94,445.5,188.89,410.52,494.13,449.9,457.99
1996_8,418.24,242.66,404.06,352.88,268.36,267.31,685.62,280.96,294.21,238.31,546.05,241.25,453.34,267.09,312.55,240.02,242.84,632.95,288.83,377.77,397.19,235.75,427.22,450.78,189.84,415.78,500.07,455.28,463.41
1996_9,423.44,242.87,409.19,357.25,269.21,268.16,692.62,284.15,296.67,240.84,552.74,243.78,458.95,267.91,314.52,242.55,245.41,640.54,290.33,381.82,402.13,238.21,432.64,456.08,190.71,421.02,506.11,460.63,468.85
