Unnamed: 0,0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,32,33,34,35,37,38,39
1996_6,463.79,302.44,282.35,392.84,409.81,236.03,269.03,254.0,456.37,235.35,419.68,231.09,404.6,643.32,395.63,759.72,167.8,496.37,266.91,235.39,386.98,454.38,379.73,230.27,396.37,238.48,550.81,393.52,342.42,267.65,232.46,405.88,393.94,234.79,436.0,243.39,268.13
1996_7,469.8,306.14,285.7,398.1,414.9,238.59,269.99,256.91,461.98,237.89,425.24,233.58,410.06,651.54,400.86,768.65,168.2,502.78,267.84,237.94,392.05,460.39,384.68,232.78,401.65,241.05,556.68,398.85,346.68,268.63,233.05,411.14,399.18,237.34,441.71,245.79,269.11
1996_8,475.49,309.8,288.97,403.21,419.77,241.11,270.87,259.74,467.45,240.43,430.55,236.07,415.23,659.33,406.01,777.59,168.56,508.8,268.72,240.48,397.02,466.04,389.58,235.27,406.77,243.65,562.62,403.93,350.88,269.58,233.63,416.06,404.31,239.85,447.18,248.18,270.03
1996_9,481.29,313.38,292.28,408.24,424.71,243.65,271.75,262.64,472.92,242.96,435.98,238.56,420.42,667.28,411.16,786.53,168.89,514.99,269.55,243.0,401.93,471.79,394.47,237.77,411.92,246.17,568.38,408.98,354.99,270.5,234.12,421.09,409.38,242.38,452.7,250.54,270.95
1996_10,487.23,317.04,295.51,413.45,429.79,246.13,272.75,265.42,478.51,245.5,441.39,240.98,425.75,675.31,416.24,795.35,169.23,521.26,270.47,245.48,406.99,477.75,399.28,240.26,417.13,248.72,574.33,414.19,359.27,271.48,234.76,426.24,414.59,244.89,458.34,252.91,271.96
1996_11,492.88,320.67,298.73,418.45,434.62,248.6,273.59,268.21,483.82,247.95,446.59,243.41,430.78,683.06,421.22,803.88,169.49,527.27,271.3,247.91,411.81,483.43,404.04,242.61,422.07,251.15,579.79,419.12,363.34,272.38,235.13,431.11,419.55,247.3,463.71,255.15,272.84
1996_12,498.32,323.95,301.83,423.11,439.21,250.95,274.32,270.89,488.99,250.29,451.7,245.78,435.7,690.53,426.14,812.12,169.78,533.1,272.11,250.38,416.38,488.81,408.69,244.97,427.03,253.57,585.31,423.87,367.11,273.17,235.61,435.76,424.38,249.65,468.94,257.42,273.59
1997_1,499.56,325.89,303.54,424.79,440.45,252.91,274.7,272.77,490.02,252.25,452.99,247.7,437.04,692.1,427.49,813.49,171.18,534.37,272.63,252.46,418.03,490.12,410.24,247.02,428.38,255.61,585.83,425.89,368.77,273.54,236.94,437.0,425.82,251.6,470.15,259.42,274.17
1997_2,500.82,327.85,305.69,426.97,442.23,255.15,275.19,274.99,491.33,254.34,455.25,249.99,438.76,693.38,429.63,815.14,172.31,536.05,272.93,254.47,419.68,492.2,412.24,248.95,430.46,257.6,586.65,427.64,370.86,274.24,238.06,438.58,427.92,253.67,471.92,261.28,274.63
1997_3,502.66,329.08,307.09,427.53,443.37,256.65,275.52,276.47,492.6,255.98,456.08,251.37,440.07,696.09,430.42,817.22,173.24,537.6,273.09,255.99,421.01,493.36,413.22,250.58,431.35,259.27,587.45,428.35,371.99,274.24,239.04,439.95,428.72,255.39,473.25,262.62,274.76
1997_4,503.99,330.52,308.77,429.09,444.67,258.56,275.56,278.31,493.44,257.9,457.43,253.25,441.35,697.81,431.71,818.88,174.3,538.99,273.32,257.85,422.31,494.62,414.68,252.44,432.57,261.18,588.11,429.58,373.35,274.43,240.12,441.17,429.88,257.26,474.58,264.29,274.9
1997_5,505.28,332.05,310.41,429.97,445.82,260.33,275.81,280.02,494.8,259.67,458.72,255.0,442.62,699.51,433.02,820.3,175.38,540.33,273.46,259.61,423.56,496.1,416.04,254.13,433.89,262.95,588.63,430.87,374.75,274.71,241.1,442.35,431.27,258.99,475.86,265.92,275.13
1997_6,506.54,333.6,311.97,431.27,446.99,262.1,275.98,281.68,495.79,261.42,459.93,256.76,443.84,701.05,434.3,821.71,176.48,541.57,273.68,261.41,424.92,497.45,417.39,255.87,435.11,264.75,589.02,432.07,376.09,274.95,242.2,443.47,432.48,260.74,477.1,267.53,275.33
1997_7,507.92,335.19,313.66,432.64,448.29,263.91,276.29,283.46,496.97,263.24,461.38,258.53,445.27,702.89,435.65,823.28,177.6,543.06,273.96,263.25,426.36,498.91,418.81,257.67,436.52,266.63,589.74,433.47,377.58,275.27,243.34,444.8,433.83,262.55,478.47,269.17,275.67
1997_8,509.17,336.73,315.27,434.0,449.51,265.72,276.52,285.18,498.06,265.04,462.63,260.32,446.54,704.49,436.96,824.72,178.72,544.36,274.18,265.05,427.65,500.17,420.19,259.44,437.81,268.43,590.35,434.81,379.03,275.47,244.38,445.98,435.19,264.32,479.78,270.81,275.88
