Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1996_11,243.75,243.35,408.45,439.41,460.26,269.89,249.06,249.82,275.4,279.07,247.05,424.92,274.64,427.87,332.68,326.27,270.07,526.0,343.46,494.59,693.31,481.0,419.65,540.12,269.03,398.61,523.03,270.66,197.12
1996_12,246.1,245.74,412.41,444.5,465.49,270.69,251.4,252.28,276.22,281.84,249.41,429.8,277.39,432.75,335.02,328.39,270.89,531.31,347.28,500.0,700.85,486.1,424.55,545.99,269.87,402.97,528.76,271.4,197.38
1997_1,248.1,247.59,413.46,445.78,466.81,270.93,253.37,254.33,276.59,283.84,251.36,431.35,279.21,433.97,336.14,329.26,271.49,532.06,349.01,501.24,702.45,487.07,425.9,547.23,270.4,404.58,530.01,271.84,199.14
1997_2,250.08,249.89,415.01,447.99,469.04,271.48,255.51,256.36,277.05,285.88,253.61,433.29,281.41,435.49,337.28,330.22,271.67,533.08,351.15,502.88,703.69,488.28,428.03,548.81,270.59,406.66,531.39,272.25,200.63
1997_3,251.75,251.32,416.02,448.87,469.97,271.64,257.12,257.95,277.17,287.22,255.08,434.21,282.9,436.92,337.46,330.6,271.89,534.11,352.32,504.12,706.48,489.54,428.83,550.25,270.86,407.55,533.17,272.56,201.91
1997_4,253.62,253.2,417.13,450.17,470.99,271.82,259.04,259.81,277.4,288.96,256.98,435.43,284.67,438.29,338.23,331.16,272.11,535.02,353.97,505.53,708.17,490.27,430.12,551.52,271.13,408.83,534.52,272.57,203.35
1997_5,255.32,254.93,418.13,451.5,472.7,272.08,260.82,261.59,277.58,290.54,258.74,436.74,286.4,439.49,338.67,331.72,272.23,535.73,355.51,506.6,709.93,491.64,431.43,552.82,271.29,410.15,535.81,272.83,204.72
1997_6,257.06,256.68,419.14,452.73,473.96,272.32,262.57,263.39,277.78,292.16,260.52,437.96,288.05,440.73,339.3,332.23,272.47,536.34,357.03,507.69,711.46,492.57,432.69,553.95,271.59,411.46,537.07,273.0,206.18
1997_7,258.86,258.46,420.26,454.19,475.41,272.62,264.4,265.24,278.05,293.85,262.32,439.35,289.81,442.01,340.05,332.9,272.76,537.27,358.61,509.02,713.33,493.7,434.04,555.3,271.93,412.88,538.5,273.31,207.66
1997_8,260.63,260.25,421.32,455.45,476.76,272.76,266.21,267.06,278.29,295.54,264.11,440.69,291.51,443.34,340.73,333.5,272.95,538.13,360.17,510.22,714.94,494.74,435.36,556.56,272.12,414.26,539.78,273.51,209.11
1997_9,262.39,261.97,422.48,456.85,478.25,273.09,268.0,268.83,278.64,297.21,265.85,441.99,293.21,444.69,341.39,334.12,273.27,539.03,361.71,511.49,716.8,495.89,436.68,557.87,272.48,415.67,541.23,273.81,210.54
1997_10,264.11,263.72,423.49,458.14,479.48,273.3,269.77,270.52,278.82,298.79,267.59,443.23,294.87,445.85,341.99,334.7,273.45,539.74,363.24,512.69,718.42,496.84,437.93,559.13,272.65,416.96,542.51,273.99,211.9
1997_11,265.73,265.37,424.37,459.26,480.67,273.45,271.4,272.13,278.96,300.32,269.25,444.34,296.45,446.85,342.56,335.15,273.64,540.43,364.66,513.66,719.78,497.7,439.08,560.1,272.86,418.16,543.58,274.18,213.24
1997_12,267.39,267.03,425.41,460.52,481.93,273.68,273.08,273.85,279.15,301.87,270.95,445.64,298.08,448.08,343.19,335.72,273.82,541.12,366.15,514.83,721.37,498.67,440.37,561.26,273.08,419.45,544.86,274.37,214.6
1998_1,272.92,272.57,425.22,460.38,481.83,273.32,278.72,279.49,278.82,306.39,276.54,445.53,302.79,448.0,342.91,335.42,273.49,540.29,368.56,514.39,720.77,498.17,440.26,560.77,272.77,420.03,544.48,274.03,215.63
1998_2,278.39,277.96,425.09,460.3,481.7,272.99,284.24,285.02,278.65,310.88,281.99,445.51,307.44,447.88,342.72,335.24,273.29,539.52,370.95,514.11,720.26,497.71,440.21,560.37,272.53,420.72,544.15,273.91,216.66
1998_3,283.66,283.19,424.87,460.17,481.55,272.65,289.63,290.43,278.21,315.18,287.33,445.4,311.95,447.75,342.47,334.99,272.89,538.68,373.23,513.68,719.8,497.26,440.13,559.85,272.22,421.3,543.81,273.55,217.62
1998_4,288.75,288.28,424.52,459.88,481.23,272.2,294.83,295.67,277.64,319.28,292.45,444.82,316.16,447.46,341.97,334.34,272.37,537.66,375.37,513.16,718.99,496.6,439.8,559.26,271.83,421.46,543.33,272.87,218.52
1998_5,293.62,293.2,424.13,459.61,480.92,271.77,299.81,300.62,277.13,323.27,297.44,444.83,320.34,447.18,341.66,334.07,271.86,536.63,377.43,512.56,718.02,495.91,439.62,558.46,271.41,422.05,542.59,272.4,219.29
1998_6,298.45,298.05,423.84,459.38,480.62,271.35,304.73,305.56,276.73,327.2,302.34,444.6,324.44,446.88,341.33,333.72,271.45,535.76,379.47,512.09,717.28,495.3,439.45,557.86,271.05,422.47,542.07,272.01,220.1
1998_7,303.1,302.68,423.42,459.03,480.25,270.87,309.48,310.31,276.21,330.94,307.07,444.29,328.35,446.55,340.88,333.27,270.95,534.71,381.32,511.38,716.4,494.6,439.07,557.04,270.64,422.76,541.42,271.49,220.84
1998_8,307.64,307.18,423.02,458.66,479.79,270.36,314.1,314.95,275.72,334.62,311.64,443.91,332.18,446.18,340.43,332.8,270.45,533.71,383.15,510.77,715.46,493.91,438.78,556.34,270.19,423.05,540.82,271.0,221.57
1998_9,312.06,311.6,422.54,458.22,479.28,269.84,318.6,319.45,275.21,338.14,316.04,443.54,335.88,445.77,339.95,332.33,269.97,532.52,384.88,510.07,714.37,493.06,438.39,555.47,269.68,423.16,540.04,270.51,222.21
1998_10,316.28,315.83,421.97,457.66,478.67,269.26,322.93,323.72,274.59,341.5,320.29,443.06,339.38,445.25,339.4,331.78,269.38,531.35,386.47,509.2,713.12,492.17,437.88,554.44,269.07,423.29,539.22,269.91,222.73
1998_11,320.36,319.88,421.41,457.07,478.08,268.68,327.08,327.88,274.02,344.76,324.42,442.46,342.78,444.68,338.79,331.18,268.8,529.99,387.98,508.3,711.92,491.25,437.36,553.37,268.56,423.32,538.35,269.3,223.23
1998_12,324.2,323.81,420.59,456.25,477.21,267.97,330.99,331.79,273.39,347.8,328.37,441.77,345.97,443.9,338.09,330.48,268.14,528.47,389.32,507.16,710.25,490.03,436.68,552.06,267.87,423.21,537.16,268.66,223.65
1999_1,324.34,324.0,418.69,454.22,475.07,266.69,331.13,331.93,272.15,347.53,328.54,439.83,345.83,441.8,336.49,328.92,266.99,525.49,388.32,504.67,706.71,487.52,434.78,549.28,266.63,421.52,534.53,267.5,223.81
1999_2,324.49,324.09,416.68,452.09,472.83,265.4,331.21,332.05,270.75,347.29,328.63,437.83,345.61,439.72,334.92,327.39,265.67,522.5,387.28,502.1,703.03,484.95,432.73,546.41,265.37,419.78,531.76,266.32,223.99
