Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,27,28,29
1996_8,448.62,316.57,282.44,403.38,240.57,507.66,280.96,288.87,235.41,610.79,471.18,241.15,412.36,455.17,404.72,252.73,267.79,410.51,277.79,203.99,645.73,269.71,404.95,238.71,240.71,211.99,252.5
1996_9,454.18,320.26,285.66,408.41,243.1,513.87,282.16,292.24,237.9,618.12,476.66,243.68,417.52,460.8,409.87,255.32,268.63,415.68,278.81,205.38,651.96,270.63,410.02,241.25,243.24,212.32,254.64
1996_10,459.84,324.04,288.8,413.61,245.57,520.15,283.49,295.5,240.39,625.56,482.25,246.23,422.83,466.37,414.94,257.99,269.52,420.79,279.96,206.77,658.36,271.64,415.25,243.76,245.74,212.78,256.81
1996_11,465.23,327.74,291.93,418.6,248.03,526.19,284.64,298.75,242.75,632.7,487.56,248.68,427.84,471.81,419.91,260.52,270.34,425.82,281.01,208.06,664.18,272.54,420.19,246.15,248.19,212.98,258.84
1996_12,470.42,331.14,294.94,423.27,250.39,532.03,285.66,301.89,245.11,639.59,492.72,251.01,432.71,477.13,424.81,262.98,271.13,430.75,282.01,209.37,670.06,273.31,425.03,248.5,250.64,213.29,260.9
1997_1,471.67,333.04,296.68,425.11,252.35,533.36,286.17,303.71,247.13,641.04,493.73,252.98,434.09,478.41,426.15,265.01,271.5,432.22,282.53,211.11,670.18,273.78,426.52,250.51,252.69,214.82,262.61
1997_2,473.38,335.01,298.87,427.13,254.6,534.9,286.74,305.86,249.05,642.32,494.99,255.09,436.01,479.98,428.34,266.99,271.78,434.22,283.02,212.75,670.14,274.46,428.54,252.53,254.71,216.06,264.3
1997_3,474.77,336.26,300.26,427.72,256.08,536.63,287.11,307.27,250.72,644.71,496.26,256.75,437.11,481.47,429.09,268.92,272.13,435.02,283.16,213.98,671.24,274.4,429.4,254.22,256.25,217.15,265.48
1997_4,476.11,337.7,301.97,429.18,257.99,538.07,287.26,309.04,252.58,646.27,497.07,258.66,438.4,482.92,430.38,271.0,272.31,436.4,283.42,215.41,670.71,274.61,430.57,256.09,258.14,218.37,266.95
1997_5,477.37,339.2,303.62,430.17,259.76,539.43,287.57,310.67,254.28,647.82,498.4,260.43,439.65,484.09,431.69,272.81,272.49,437.7,283.69,216.86,671.71,274.88,431.95,257.81,259.91,219.5,268.38
1997_6,478.62,340.75,305.2,431.44,261.53,540.72,287.81,312.28,256.02,649.23,499.35,262.19,440.85,485.25,432.96,274.67,272.72,438.97,283.94,218.3,671.71,275.11,433.15,259.56,261.69,220.75,269.77
1997_7,479.98,342.33,306.91,432.82,263.33,542.25,288.21,313.99,257.82,650.92,500.51,264.02,442.28,486.67,434.31,276.57,273.04,440.31,284.28,219.8,672.12,275.43,434.52,261.36,263.52,222.02,271.23
1997_8,481.26,343.86,308.54,434.18,265.14,543.57,288.52,315.64,259.59,652.38,501.57,265.82,443.56,487.94,435.62,278.37,273.15,441.6,284.57,221.3,672.44,275.66,435.86,263.14,265.32,223.23,272.67
1997_9,482.69,345.48,310.19,435.48,266.89,545.08,288.88,317.3,261.35,654.08,502.74,267.6,444.88,489.31,436.95,280.21,273.52,442.9,284.94,222.73,672.85,275.94,437.19,264.91,267.1,224.46,274.1
