Unnamed: 0,0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29
1996_11,653.24,396.36,459.06,269.12,247.99,271.22,247.18,207.01,283.63,419.27,253.05,422.09,422.6,276.06,527.81,477.35,245.12,323.17,436.76,272.32,288.57,270.01,424.56,269.98,270.37,453.19,570.99,616.95
1996_12,659.09,400.69,464.31,269.94,250.39,271.99,249.53,207.16,284.63,424.17,255.26,426.95,427.5,278.83,533.71,482.43,247.51,325.24,441.81,274.91,289.63,270.78,429.43,270.8,271.14,458.26,576.95,623.63
1997_1,659.2,402.32,465.65,270.59,252.39,272.34,251.48,208.64,285.05,425.54,257.02,428.18,428.98,280.63,535.13,483.41,249.58,326.33,443.08,276.88,290.05,271.05,431.08,271.39,271.42,459.52,578.07,625.03
1997_2,659.35,404.46,467.17,270.6,254.43,272.78,253.71,209.81,285.65,427.68,258.71,429.73,430.91,282.86,537.03,484.66,251.54,327.3,445.23,278.91,290.67,271.71,432.98,271.63,271.74,461.2,579.25,626.38
1997_3,660.31,405.28,468.79,271.03,256.06,273.1,255.21,210.81,285.84,428.45,260.23,431.16,431.77,284.29,538.52,485.91,253.16,327.48,446.15,280.88,291.03,271.74,433.84,271.78,272.15,462.6,580.84,628.58
1997_4,659.58,406.68,470.22,271.04,257.95,273.13,257.11,211.96,286.13,429.72,261.8,432.55,433.15,286.05,539.82,486.68,255.01,328.13,447.49,282.8,291.26,271.93,435.06,272.01,272.31,463.95,581.88,630.09
1997_5,660.82,407.89,471.52,271.25,259.7,273.38,258.88,213.04,286.4,431.04,263.28,433.76,434.44,287.76,541.49,488.03,256.72,328.53,448.78,284.58,291.56,272.2,436.38,272.15,272.51,465.2,583.13,631.56
1997_6,660.81,409.22,472.7,271.54,261.47,273.57,260.64,214.23,286.66,432.31,264.82,435.03,435.71,289.39,542.84,488.98,258.48,329.09,449.99,286.38,291.82,272.43,437.59,272.37,272.75,466.43,584.12,632.96
1997_7,661.23,410.64,474.18,271.84,263.3,273.88,262.44,215.43,287.01,433.65,266.44,436.32,437.04,291.15,544.43,490.12,260.3,329.77,451.44,288.25,292.21,272.73,438.98,272.66,273.08,467.8,585.34,634.57
1997_8,661.59,412.03,475.5,271.99,265.1,274.03,264.24,216.58,287.33,434.98,267.99,437.67,438.34,292.82,545.83,491.18,262.09,330.37,452.7,290.06,292.53,272.9,440.32,272.87,273.13,469.08,586.45,635.97
1997_9,661.99,413.44,476.93,272.33,266.87,274.35,265.99,217.75,287.73,436.29,269.54,439.03,439.63,294.51,547.43,492.34,263.85,330.96,454.09,291.89,292.91,273.19,441.61,273.17,273.56,470.49,587.65,637.61
1997_10,662.18,414.73,478.27,272.51,268.59,274.55,267.75,218.83,287.98,437.54,271.0,440.2,440.93,296.15,548.79,493.3,265.55,331.49,455.37,293.68,293.2,273.39,442.86,273.35,273.73,471.73,588.79,639.04
1997_11,662.24,415.93,479.39,272.67,270.21,274.73,269.39,219.91,288.19,438.7,272.4,441.22,442.1,297.72,550.01,494.18,267.17,331.99,456.48,295.35,293.43,273.55,443.97,273.56,273.89,472.81,589.62,640.22
1997_12,662.48,417.22,480.64,272.86,271.91,274.92,271.08,221.0,288.45,439.99,273.85,442.46,443.34,299.34,551.4,495.17,268.83,332.55,457.72,297.07,293.71,273.78,445.27,273.73,274.08,474.09,590.64,641.63
1998_1,660.78,417.85,480.44,272.52,277.52,274.56,276.67,221.31,288.14,439.89,278.57,442.42,443.23,303.95,551.14,494.69,274.39,332.25,457.58,302.7,293.37,273.41,445.15,273.41,273.72,473.9,589.92,641.1
1998_2,659.17,418.59,480.39,272.3,283.02,274.38,282.13,221.64,287.99,439.84,283.2,442.32,443.17,308.5,550.91,494.25,279.87,332.05,457.52,308.28,293.18,273.07,445.14,273.24,273.44,473.77,589.33,640.62
1998_3,657.56,419.21,480.23,271.91,288.4,274.05,287.48,221.91,287.59,439.75,287.67,442.24,443.05,312.92,550.68,493.82,285.17,331.78,457.39,313.65,292.85,272.74,445.04,272.8,273.06,473.58,588.6,640.16
1998_4,655.64,419.45,479.94,271.48,293.6,273.41,292.6,222.13,287.02,439.4,292.0,441.97,442.85,317.03,550.17,493.18,290.29,331.26,457.12,318.78,292.18,272.28,444.45,272.25,272.58,473.26,587.77,639.52
1998_5,653.76,420.05,479.55,270.91,298.52,272.93,297.59,222.25,286.56,439.25,296.08,441.73,442.6,321.13,549.72,492.52,295.18,330.92,456.83,323.7,291.76,271.85,444.46,271.77,272.14,472.82,586.75,638.55
1998_6,652.04,420.52,479.3,270.54,303.43,272.55,302.48,222.43,286.19,439.09,300.19,441.46,442.39,325.14,549.31,491.93,300.04,330.57,456.6,328.64,291.38,271.43,444.23,271.37,271.75,472.52,585.96,637.85
