Unnamed: 0,0,1,2,3,4,5,6,7
2015_11,1307.94,2032.21,1222.14,640.98,1535.45,994.92,798.24,1582.68
2015_12,1309.45,2024.19,1218.38,638.76,1530.57,989.43,794.64,1578.65
2016_1,1313.76,2024.05,1223.79,641.15,1536.61,992.03,795.68,1599.64
2016_2,1310.58,2028.4,1220.66,638.67,1537.39,991.39,788.6,1594.26
2016_3,1305.5,2032.87,1218.86,635.91,1539.45,990.63,783.27,1589.71
2016_4,1302.3,2037.23,1221.02,636.06,1542.11,990.83,781.12,1588.58
2016_5,1299.69,2036.41,1220.29,634.55,1544.09,991.57,776.86,1588.73
2016_6,1298.65,2040.19,1221.57,636.79,1546.99,994.93,773.25,1597.41
2016_7,1307.47,2043.62,1225.25,638.41,1551.18,996.69,772.79,1607.36
2016_8,1306.32,2043.02,1224.65,637.43,1552.09,995.8,769.84,1598.5
2016_9,1295.48,2042.55,1221.2,632.51,1551.94,992.78,761.41,1595.73
2016_10,1294.33,2046.01,1220.82,632.47,1553.05,992.8,758.47,1595.77
2016_11,1300.43,2048.87,1223.56,632.14,1555.86,993.26,755.96,1616.61
2016_12,1302.56,2050.52,1225.83,632.97,1559.17,994.49,753.72,1619.7
2017_1,1298.08,2057.56,1227.64,632.71,1566.43,997.15,752.7,1607.01
2017_2,1305.54,2071.54,1234.14,636.1,1575.01,1001.82,755.47,1618.61
2017_3,1314.66,2088.33,1241.91,638.84,1585.59,1006.83,759.53,1630.55
2017_4,1322.21,2099.1,1248.71,641.66,1594.83,1011.02,762.7,1640.47
2017_5,1326.27,2107.51,1252.87,643.4,1602.8,1015.32,764.15,1647.58
2017_6,1332.06,2118.09,1258.58,645.71,1611.38,1019.39,766.8,1655.34
2017_7,1337.58,2130.47,1264.69,648.37,1620.14,1023.8,769.76,1663.46
2017_8,1342.68,2139.37,1269.07,650.3,1627.92,1027.28,771.1,1670.86
2017_9,1351.78,2151.27,1276.59,653.82,1637.5,1032.18,774.81,1682.11
2017_10,1357.43,2162.49,1281.96,655.98,1645.45,1035.98,777.41,1690.3
2017_11,1362.68,2173.02,1287.84,658.48,1654.37,1040.49,780.0,1697.77
2017_12,1368.8,2184.24,1293.9,661.26,1663.71,1044.81,782.48,1706.45
2018_1,1376.36,2198.59,1300.61,664.72,1674.51,1049.16,785.19,1716.92
2018_2,1382.81,2211.6,1306.94,665.22,1684.67,1053.51,787.6,1725.93
2018_3,1393.97,2229.45,1316.16,668.56,1696.63,1058.64,792.39,1741.02
2018_4,1406.08,2244.16,1328.89,670.86,1714.91,1063.46,797.05,1761.69
2018_5,1408.99,2257.14,1329.3,672.57,1717.62,1067.53,797.09,1762.09
2018_6,1416.45,2269.08,1336.22,674.38,1729.34,1071.85,800.18,1772.67
2018_7,1424.96,2282.6,1343.45,676.53,1740.16,1076.05,803.0,1784.71
2018_8,1430.84,2294.26,1349.41,678.58,1750.83,1080.3,805.19,1793.91
2018_9,1437.62,2307.63,1356.0,680.72,1761.04,1084.38,807.53,1802.8
2018_10,1445.7,2319.25,1362.43,682.69,1770.42,1088.27,810.17,1813.63
2018_11,1453.3,2332.51,1368.9,684.27,1780.42,1091.84,813.28,1823.73
2018_12,1458.18,2345.71,1374.81,685.97,1790.8,1095.94,814.93,1832.03
2019_1,1460.12,2343.19,1375.84,686.19,1794.92,1097.04,815.06,1838.33
2019_2,1465.67,2354.43,1381.08,688.01,1801.35,1099.8,818.1,1841.57
2019_3,1469.59,2361.79,1384.0,688.66,1806.4,1101.74,819.42,1847.27
2019_4,1473.21,2369.15,1388.17,689.76,1811.84,1104.48,821.15,1853.26
2019_5,1476.63,2374.44,1391.01,690.86,1815.95,1106.34,822.99,1856.65
2019_6,1479.63,2381.17,1393.91,691.29,1821.5,1108.82,823.68,1863.47
2019_7,1482.74,2384.04,1396.68,691.82,1827.44,1110.23,824.59,1867.16
2019_8,1487.17,2393.05,1400.97,693.65,1832.91,1113.06,827.26,1872.77
2019_9,1489.05,2395.94,1402.44,693.9,1836.73,1114.61,827.73,1876.53
2019_10,1493.4,2404.7,1405.84,695.0,1840.89,1116.33,829.97,1882.21
2019_11,1497.2,2412.99,1409.85,696.17,1846.14,1118.85,831.59,1887.96
2019_12,1498.93,2422.41,1411.9,696.97,1851.65,1120.4,832.32,1890.52
2020_1,1498.81,2409.09,1406.68,696.17,1845.37,1117.08,830.39,1887.0
2020_2,1488.81,2402.48,1400.83,692.12,1836.55,1112.14,828.06,1875.61
2020_3,1485.02,2394.78,1396.25,689.94,1830.37,1108.58,826.42,1870.92
2020_4,1479.87,2385.96,1392.65,687.86,1824.97,1104.75,824.67,1864.19
2020_5,1473.97,2375.08,1385.76,685.04,1816.3,1100.49,822.3,1854.91
2020_6,1468.58,2364.13,1380.47,682.46,1810.01,1096.5,819.81,1847.67
2020_7,1465.33,2353.64,1376.04,680.58,1802.64,1092.83,818.22,1842.52
2020_8,1458.51,2345.52,1369.74,677.76,1794.51,1087.98,815.44,1833.25
2020_9,1451.85,2333.96,1363.81,675.19,1788.17,1083.76,812.73,1824.52
2020_10,1446.45,2323.25,1357.96,672.76,1780.08,1079.13,810.84,1816.8
2020_11,1440.21,2310.4,1352.06,669.88,1771.55,1074.14,808.13,1808.27
2020_12,1435.19,2296.44,1346.93,667.17,1765.19,1070.0,805.89,1800.58
2021_1,1445.74,2315.88,1357.77,673.28,1780.38,1079.31,811.56,1814.44
2021_2,1459.08,2341.86,1370.13,680.51,1796.18,1088.37,819.23,1831.88
2021_3,1473.86,2365.96,1383.09,684.47,1814.98,1097.97,826.18,1851.63
2021_4,1485.48,2384.37,1395.21,689.87,1829.38,1106.56,833.32,1866.59
2021_5,1497.93,2403.74,1405.42,695.06,1845.94,1115.58,838.28,1882.96
2021_6,1507.54,2422.54,1415.43,699.72,1860.22,1123.3,843.85,1896.4
2021_7,1519.8,2441.99,1426.77,705.27,1875.97,1132.09,850.11,1912.38
2021_8,1533.8,2461.92,1438.42,710.63,1890.89,1140.34,856.68,1929.42
2021_9,1542.24,2478.44,1447.63,715.07,1905.08,1148.18,861.5,1941.53
