Unnamed: 0,0,1,2,3,4,5,6,7,9,10,11,12,13,14
2002_5,230.78,468.75,333.49,337.34,415.8,263.04,245.06,406.26,334.71,476.27,445.65,335.01,337.99,338.53
2002_6,230.78,468.14,333.66,337.74,415.71,263.39,245.46,406.22,335.11,475.99,445.19,335.38,338.37,338.87
2002_7,230.81,467.57,333.81,338.13,415.65,263.63,245.87,406.19,335.5,475.49,444.74,335.79,338.78,339.25
2002_8,230.85,467.13,334.03,338.57,415.67,264.18,246.35,406.17,335.99,475.57,444.67,336.23,339.25,339.68
2002_9,230.79,466.51,334.15,338.88,415.5,264.53,246.72,406.09,336.29,475.3,444.24,336.53,339.57,340.0
2002_10,230.7,465.89,334.21,339.19,415.33,264.89,247.05,405.92,336.61,474.96,443.82,336.78,339.9,340.28
2002_11,230.55,465.05,334.18,339.39,415.05,265.1,247.37,405.66,336.88,474.41,443.18,336.86,340.09,340.46
2002_12,230.35,464.17,334.11,339.39,414.62,265.24,247.55,405.32,336.83,473.77,442.48,337.06,340.07,340.58
2003_1,231.66,467.6,336.5,341.56,418.09,266.87,248.98,408.65,338.97,477.47,446.08,338.98,342.22,342.65
2003_2,233.26,471.81,339.62,344.25,422.25,269.17,250.87,412.79,341.57,482.2,450.1,341.6,344.89,345.43
2003_3,234.69,475.57,342.21,346.55,426.01,270.79,252.37,416.44,343.86,486.24,453.86,343.8,347.15,347.79
2003_4,236.12,479.33,344.84,348.88,429.64,272.48,253.94,420.15,346.27,490.37,457.57,346.05,349.51,350.21
2003_5,237.46,482.94,347.55,351.13,433.31,274.28,255.49,423.72,348.45,494.42,461.26,348.26,351.75,352.52
2003_6,238.91,486.8,350.28,353.36,436.97,276.07,257.11,427.47,350.68,498.59,465.04,350.46,353.94,354.87
2003_7,240.26,490.33,352.81,355.67,440.65,277.75,258.55,430.93,352.94,502.4,468.52,352.76,356.25,357.17
2003_8,241.66,494.0,355.49,357.96,444.34,279.49,260.07,434.6,355.23,506.48,472.2,355.04,358.55,359.56
2003_9,242.97,497.69,358.13,360.19,447.98,281.31,261.61,438.24,357.39,510.54,475.91,357.11,360.78,361.85
2003_10,244.27,501.31,360.66,362.37,451.58,283.0,263.12,441.77,359.58,514.45,479.51,359.19,362.98,364.11
2003_11,245.4,504.48,363.07,364.24,454.85,284.54,264.41,445.04,361.45,518.33,483.06,360.98,364.81,366.07
2003_12,246.64,507.86,365.44,366.37,458.31,286.08,265.78,448.39,363.49,521.72,486.08,363.0,366.88,368.25
2004_1,249.13,511.87,369.14,369.69,462.22,289.85,269.43,452.23,366.84,526.08,490.08,366.29,370.17,371.61
2004_2,251.46,515.39,372.55,372.74,465.76,293.35,272.88,455.7,369.89,529.96,493.63,369.37,373.28,374.7
2004_3,253.79,518.88,375.93,375.79,469.24,296.69,276.21,459.17,372.95,533.81,497.13,372.42,376.37,377.83
2004_4,256.02,522.25,379.17,378.81,472.67,299.88,279.48,462.53,375.95,537.46,500.43,375.38,379.39,380.8
2004_5,258.25,525.57,382.45,381.78,476.03,303.26,282.79,465.85,378.88,541.1,503.75,378.33,382.36,383.77
2004_6,260.47,528.84,385.7,384.72,479.35,306.6,286.08,469.13,381.84,544.73,507.04,381.27,385.31,386.7
2004_7,262.74,532.2,388.98,387.69,482.73,309.92,289.45,472.46,384.78,548.39,510.41,384.25,388.29,389.67
2004_8,264.98,535.55,392.26,390.7,486.16,313.32,292.72,475.84,387.78,552.13,513.77,387.27,391.31,392.69
2004_9,267.22,538.97,395.63,393.66,489.54,316.74,296.09,479.19,390.69,555.9,517.2,390.12,394.25,395.69
2004_10,269.38,542.23,398.82,396.59,492.84,320.01,299.31,482.44,393.69,559.44,520.47,393.0,397.25,398.63
2004_11,271.57,545.54,402.0,399.47,496.15,323.34,302.58,485.68,396.58,563.0,523.69,395.79,400.13,401.52
