Unnamed: 0,0,1,2,3,4,5,6,7,8,9
2007_8,682.12,1026.15,329.04,658.58,512.37,417.93,728.5,556.09,593.55,816.88
2007_9,690.77,1037.88,332.16,666.74,517.92,422.78,737.82,562.34,600.07,827.13
2007_10,699.21,1048.93,335.2,674.71,523.37,427.6,746.92,568.46,605.57,837.0
2007_11,707.41,1059.78,338.06,682.44,528.44,432.21,755.65,574.28,611.48,846.71
2007_12,715.69,1070.59,341.13,690.32,533.89,436.96,764.62,580.34,617.7,856.27
2008_1,723.82,1080.12,346.07,698.7,542.54,443.42,773.12,589.18,628.02,864.95
2008_2,731.83,1089.44,352.09,707.38,552.32,450.13,781.56,598.18,638.24,873.46
2008_3,739.85,1098.85,356.61,715.67,560.71,456.21,789.9,606.77,648.87,882.0
2008_4,747.59,1107.8,361.72,723.83,569.55,462.48,798.11,615.39,659.06,890.15
2008_5,755.23,1116.56,366.68,731.81,578.22,468.64,806.15,623.96,669.18,898.24
2008_6,762.72,1125.07,371.7,739.79,586.95,474.79,814.14,632.48,679.17,906.11
2008_7,770.35,1133.8,376.73,747.82,595.65,480.97,822.05,641.0,689.29,914.14
2008_8,778.18,1142.85,381.8,756.09,604.49,487.22,830.27,649.6,699.49,922.47
2008_9,785.95,1151.49,386.7,764.31,613.19,493.51,838.31,658.07,709.53,930.52
2008_10,793.6,1160.33,391.75,772.43,621.95,499.67,846.38,666.57,719.44,938.53
2008_11,801.07,1168.75,396.62,780.05,630.57,505.74,854.27,674.92,728.51,946.32
2008_12,809.16,1176.96,402.12,789.29,639.73,512.47,863.52,684.51,739.11,955.82
2009_1,817.04,1181.98,401.92,791.81,639.16,523.27,866.36,684.23,739.43,959.14
2009_2,826.01,1187.77,402.53,796.02,639.67,534.68,871.4,685.72,739.69,964.72
2009_3,834.24,1192.51,402.83,799.48,639.72,545.48,875.8,686.73,740.3,969.65
2009_4,842.66,1197.83,403.3,803.63,639.95,556.28,880.31,687.78,740.57,974.96
2009_5,850.33,1202.13,403.54,806.75,639.91,566.46,884.4,688.68,740.55,979.44
2009_6,858.05,1206.55,403.87,809.94,639.9,576.52,888.51,689.57,740.64,983.96
2009_7,865.8,1210.96,404.22,813.39,639.94,586.51,892.63,690.48,740.55,988.65
